,A,B,C,D,E,F,G,H,H1H2,J,K,L,M,N,P,Q,R,S,T,U,V
4.0,9875,11314,12261,10676,11278,11349,11096,11170,11949,12221,12089,13444,12089,11457,11955,11468,11320,12192,12169,11314,11314
10.0,10191,9911,12639,11011,9993,10052,11054,11496,12316,12504,12373,13983,12459,11797,12365,11775,11669,12566,12541,10022,10022
17.0,10537,10240,12935,12281,10321,10383,11489,11487,13123,13280,12691,14307,13276,12003,12751,12420,12031,13341,13358,10352,10352
