,A1,A10,A2,A9,B11,B12,B3,B5,C14,C15,C6,C7,C8,F15
2.0,7142,8169,7165,8657,8009,8169,7238,7597,8214,7183,7522,7915,7708,7211
4.0,7219,8255,7237,8772,8089,8255,7315,7560,8439,7258,7599,7674,7787,7289
7.0,7330,8381,7340,8914,8157,8425,7596,7671,8478,7350,7427,7395,7901,7403
