,A,B,C,DH,E,F,G,H
2.0,3136300,3168000,4391040,5902605,3083855,3029994,3811995,4117195
4.0,3167584,3199360,3199360,5962842,3114660,3059991,3850308,3124420
5.0,3263016,3215040,3215040,5992650,3129605,3074841,3869613,3139670
