,A,B,C,D,E,F,G,H,I,J,K,L,M,N
3.0,535,535,500,535,535,500,535,540,517,445,490,530,445,490
6.0,535,535,500,535,535,500,535,540,517,445,490,530,445,490
10.0,535,535,500,535,535,500,535,540,517,445,490,530,445,490
