,A,B,C,D,E,F,G,H,J,K,L,M,N
15.0,17243415,7376616,8970195,10358766,11439846,11459553,10207710,15017600,8185976,8880300,16399170,14553572,14139732
29.0,19204406,8071920,16967690,12352824,12234024,12081121,10474452,15692670,9523196,9788688,16559538,16735323,17021648
43.0,22510800,8604387,18691600,13602600,12935538,13030469,11071620,16952560,9568943,10786464,18238776,19320180,18371646
