,2,2-1D,2A,2B,2B-1,2B-3,2C4E,2D,4,4A,4A-1,4A-2,4B,4B-1,4C,4D
2.0,7345,7572,5674,8162,7461,7258,,5813,5674,5720,9870,7590,5606,6734,8318,5813
4.0,7419,7649,5732,8244,7537,7333,,5873,5732,5779,9970,7667,8075,6802,8328,5873
5.0,7456,7688,5761,8285,7575,7370,,5902,5761,5808,10020,7706,8115,6837,8370,5902
