,2,2-1D,2A,2B,2B-1,2B-3,2C4E,2D,4,4A,4A-1,4A-2,4B,4B-1,4C,4D
2.0,1163,188,510,462,141,222,,368,510,500,215,135,525,279,410,368
4.0,1163,188,510,462,141,222,,368,510,500,215,135,557,279,434,368
5.0,1163,188,510,462,141,222,,368,510,500,215,135,557,279,434,368
