,A,C,D,E,F,F.P.,G,R.P.
2.0,3596418,3642700,3584435,2830300,2619750,3642700,2524250,2936450
4.0,3633189,3679930,3621000,2859725,2647500,3679930,2669750,2771250
7.0,3676025,3735775,3676025,2905650,2689250,3735775,2712250,2811000
