,A,B,C,D,E,F,G,H,J,K,L,M
15.0,19549,18935,18379,18791,18391,19365,18728,20378,19868,20048,20833,19199
28.0,21812,20384,19776,20708,20756,20749,20413,21913,20681,20473,22196,20427
42.0,23445,21630,22217,23155,23089,22733,23049,22587,22364,22549,23996,22470
