,A,B,C,D,E,F,G,H,I,J,K,M,N
3.0,330,475,485,350,437,460,460,480,460,460,501,351,501
6.0,330,475,475,330,437,420,420,450,460,450,501,351,501
9.0,330,475,475,330,437,420,420,450,460,450,501,351,493
