,A,B,C,D,E,F,G,H,I,J,K,L
2.0,348,310,315,300,305,305,305,315,323,323,323,358
4.0,348,310,315,300,305,305,305,315,323,323,323,358
6.0,348,310,315,300,305,305,305,315,323,323,323,358
