,A,B,C,D,E,F,G,H,J,K,L
8.0,887,560,559,570,521,457,588,540,545,696,536
20.0,922,795,843,636,851,769,809,595,545,696,536
32.0,922,795,843,636,851,769,809,595,545,696,536
