,B,C,D,E,F,G,H,I,J,K
2.0,3310929,3056328,3267396,3418844,2303376,2342040,2669568,2334960,2757030,2630144
4.0,3344454,3087336,3300696,3453846,2326500,2365530,2694208,2358366,2741080,2657600
7.0,3390942,3130584,3346872,3502092,2359494,2399170,2731520,2578326,2776170,2698432
