,A1,A2,A3,B1,B2,B3
4.0,8481780,9329788,8374055,8573600,8982337,8831200
10.0,9035000,9938019,8750050,9103500,9456343,9139200
17.0,9388755,10329189,9328290,9545200,9808396,9506700
