,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,3417986.0,9139.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3417986.0,9139.0,374.0,,-0.01604220499569342,-0.01604220499569342
2020-11-15,3473712.0,9288.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3473712.0,9288.0,374.0,,0.00291545189504383,0.00291545189504383
2020-10-15,3463614.0,9261.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3463614.0,9261.0,374.0,,0.007945145842403134,0.007945145842403134
2020-9-15,3436312.0,9188.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3436312.0,9188.0,374.0,,-0.0018468223791417993,-0.0018468223791417993
2020-8-15,3442670.0,9205.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3442670.0,9205.0,374.0,,-0.0064759848893686245,-0.0064759848893686245
2020-7-15,3465110.0,9265.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3465110.0,9265.0,374.0,,0.008270758515616539,0.008270758515616539
2020-6-15,3436686.0,9189.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3436686.0,9189.0,374.0,,-0.031615554852987615,-0.031615554852987615
2020-5-15,3548886.0,9489.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3548886.0,9489.0,374.0,,0.041145490454246314,0.041145490454246314
2020-4-15,3408636.0,9114.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3408636.0,9114.0,374.0,,-0.09547439460103213,-0.09547439460103213
2020-3-15,3768424.0,10076.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3768424.0,10076.0,374.0,,0.02763895971443131,0.02763895971443131
2020-2-15,3667070.0,9805.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3667070.0,9805.0,374.0,,0.01564118500103584,0.01564118500103584
2020-1-15,3610596.0,9654.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3610596.0,9654.0,374.0,,0.20044764983834873,0.20044764983834873
2019-12-15,3007708.0,8042.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3007708.0,8042.0,374.0,,-0.17543320004101304,-0.17543320004101304
2019-11-15,3647622.0,9753.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3647622.0,9753.0,374.0,,0.03976545842217494,0.03976545842217494
2019-10-15,3508120.0,9380.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3508120.0,9380.0,374.0,,-0.059271888476582046,-0.059271888476582046
2019-9-15,3729154.0,9971.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3729154.0,9971.0,374.0,,0.09127722447192732,0.09127722447192732
2019-8-15,3417238.0,9137.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3417238.0,9137.0,374.0,,-0.017843706331290954,-0.017843706331290954
2019-7-15,3479322.0,9303.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3479322.0,9303.0,374.0,,-0.021766561514195537,-0.021766561514195537
2019-6-15,3556740.0,9510.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3556740.0,9510.0,374.0,,-0.037059538274605064,-0.037059538274605064
2019-5-15,3693624.0,9876.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3693624.0,9876.0,374.0,,0.01824930405196401,0.01824930405196401
2019-4-15,3627426.0,9699.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3627426.0,9699.0,374.0,,0.025914956632113295,0.025914956632113295
2019-3-15,3535796.0,9454.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3535796.0,9454.0,374.0,,0.044871794871794934,0.044871794871794934
2019-2-15,3383952.0,9048.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3383952.0,9048.0,374.0,,0.011401743796110031,0.011401743796110031
2019-1-15,3345804.0,8946.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3345804.0,8946.0,374.0,,-0.0008934554389099514,-0.0008934554389099514
2018-12-15,3348796.0,8954.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3348796.0,8954.0,374.0,,-0.005553087516659283,-0.005553087516659283
2018-11-15,3367496.0,9004.0,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,3367496.0,9004.0,374.0,,,
2018-10-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2018-9-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
2018-8-15,,,57A SHAU KEI WAN MAIN ST E|57A 筲箕灣東大街,,,374.0,,,
