,A,A-HJK,ABCDEFGHJK,B,C,CD,CDE,CDEH,D,E,EF,F,FG,FGHJK,G,GH,H,HJ,J,K
25.0,462,,,454,716,1241,,,525,462,924,462,,,525,,716,1170,454,462
63.0,462,,,454,716,1241,,,525,462,924,462,,,525,1241,716,,454,462
101.0,,,,,,,,,,,,,,,,,,,,
