,A,B,C,D,E,F,G,H
5.0,15016,15875,15710,14852,14938,14968,15728,14938
14.0,16076,16631,16088,15842,16121,15964,16203,16121
23.0,17665,17150,17286,16710,17900,17056,17395,17900
