,A,B,C,E,F,G,H
3.0,5620520,6132208,5920260,5920260,5920260,6925056,5620520
6.0,5720854,6241520,6025488,6025488,6025488,7051152,5720854
8.0,5787592,6314232,6095640,4977948,6095640,7135216,5787592
