,1,2,3,4,5,6,7,8,B1,B2,B3,B4,B5,B6
5.0,5029376,5256400,4993920,4867200,5256400,5029376,4918375,4918375,5053440,5057200,4845600,4888800,5050800,5542992
12.0,5267008,5504400,5221080,5097240,5504400,5267008,5150880,5150880,5296336,5288800,5071680,5115600,5281600,5825744
20.0,5539608,5788800,5474160,5361120,5788800,5539608,5417695,5417695,5574576,5554400,5330520,5376600,5484400,6107744
