,1,10,11,12,13,14,15,16,17,18,19,2,20,21,21A,21B,22,23,23A,23B,24,25,26,27,28,3,4,5,5A,5B,5C,5D,5E,6,7,7A,7B,7C,7D,7E,8,9
5.0,14137,14137,14137,13696,13773,14235,13624,14137,13368,13809,14063,13619,14075,15181,15281,15238,14133,14830,14904,15642,13394,14137,14137,13730,13795,14137,14137,14991,14979,15153,14643,15109,13596,13738,14780,14979,13849,14979,14265,14440,13525,13514
12.0,14469,14469,14469,14377,14377,14751,14260,14469,13683,14423,13924,14215,14469,15875,15994,15785,14495,15168,15224,16620,13687,14469,14469,14469,14405,14469,14469,14907,14710,14910,14739,15325,13894,14338,15192,14710,14543,14996,14783,14600,14117,14363
18.0,14913,14913,14913,14932,14887,15355,14688,14913,14913,14941,14123,14718,14913,16576,16991,16673,14997,15740,16419,17471,14084,14913,14913,14913,14919,14913,14913,15447,16351,15444,15210,16405,14410,14848,15754,16351,14225,15332,15351,16345,14737,14815
