,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8
5.0,7442979,7394712,6869772,6796296,5393139,5693784,7122960,7192640,7544184,7401978,7387120,7064200,5456412,5582565,6614840,6941800
12.0,7818216,7729986,7418736,7241364,5625795,5737014,7429760,7560280,7911636,7533285,7722520,7141160,5741337,5835264,6743672,7161400
19.0,8112489,8003499,7676604,7407972,5847447,6008970,7726160,7831200,8195529,8041386,8027760,7520760,5915436,6081675,7198976,7199952
