,1,2,3,4,5,6,67,7,8,A1,A2,A4,A5,A6,A7,A8
5.0,5876000,5540010,5448250,5540010,5605600,5877600,13267100,5196280,5540010,5728800,5562580,4930620,5896400,5899600,5111180,5305060
12.0,6032400,5796420,5796420,5796420,6100800,6053200,13835360,5796420,5796420,6000400,5821210,5121170,6236000,6064400,5027930,5521880
20.0,6534800,6176040,6176040,6176040,6534800,6354400,14523740,6176040,6050880,6503600,6296290,5651010,6541600,6380000,5266950,5960700
