,1,2,3,4,5,6,7,8,9
6.0,6387606,4968816,5002122,5083374,5048197,3907586,3678465,3887815,3662843
12.0,6754410,5151816,5186220,5233434,5233697,4128171,3863170,4029060,3764247
19.0,6517188,5346162,5402160,5463648,5451474,4150089,4048935,4192035,3939445
