,1,2,3,4,5,6,7,8,B1,B2,B3,B4,B5,B6
5.0,13376,13141,13872,13520,13141,13376,13475,13475,13440,12643,13460,13580,12627,14742
12.0,14008,13761,14503,14159,13761,14008,14112,14112,14086,13222,14088,14210,13204,15494
20.0,14733,14472,15206,14892,14472,14733,14843,14843,14826,13886,14807,14935,13711,16244
