,A,AB,B,C,D,E,F,G,GH,H
16.0,679,1354,675,500,503,503,500,675,1354,679
34.0,679,1354,675,500,503,503,500,675,1354,679
53.0,679,1354,675,500,503,503,500,675,1354,679
