,A,A-HJK,ABCDEFGHJK,B,C,CD,CDE,CDEH,D,E,EF,F,FG,FGHJK,G,GH,H,HJ,J,K
25.0,18698,,,20092,21578,22195,,,20093,20580,21870,21227,,,20107,,21738,22303,17285,18631
63.0,21369,,,20673,26349,28044,,,25168,24441,26898,20622,,,25410,28044,27026,,20548,20401
101.0,,,,,,,,,,,,,,,,,,,,
