,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
7.0,13803,13713,14182,14516,16716,13629,13910,13653,13998,14516,17128,13553
14.0,14401,14306,14805,15152,17442,14214,14519,14306,14613,15152,17621,14138
20.0,14900,16181,15318,15673,16350,16219,15028,16181,15487,16673,15820,16384
