,1,2,3,4,5,6,67,7,8,A1,A2,A4,A5,A6,A7,A8
5.0,400,370,370,370,400,400,770,370,370,400,370,370,400,400,370,370
12.0,400,370,370,370,400,400,770,370,370,400,370,370,400,400,370,370
20.0,400,370,370,370,400,400,770,370,360,400,370,370,400,400,370,370
