,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
7.0,4900065,4991532,4396420,4282220,4764060,5179020,4938050,5051610,4339380,4282220,4881480,5150140
14.0,5112355,5207384,4589550,4469840,4970970,5401320,5154245,5207384,4530030,4469840,5021985,5372440
20.0,5289500,4207060,4748580,4623535,6376500,6163220,5334940,4207060,3484575,6919295,4508700,6225920
