,A,C,D,E,F,G,H,I,J,K,L
3.0,6446016,6028230,5396310,6088740,5828108,5700000,6171398,5609264,6376643,8590027,6867252
6.0,6560406,6135363,5494230,5649840,5931838,5801500,6280612,5709456,6489455,5313059,6988968
9.0,6674238,6242496,5592660,6304732,4705569,5903000,6390364,5809152,6602267,5405992,7110096
