,A,B,D,E,G,H,I
5.0,5823160,6522660,7964496,4527985,4449584,4526208,4580912
8.0,5937330,5713596,8209840,4609990,4530048,4608000,4664408
10.0,6013770,5787066,8315456,4664660,4583816,4599023,4720072
