,A,B,C,D,E,F,G,H,I
5.0,5036025,4200960,4156480,4623890,4246400,4455540,4200960,4200960,5031045
12.0,5264690,4392000,4200320,4828130,4429440,4726010,4392000,4392000,5259710
19.0,5497505,4604800,4640960,4937650,4638080,4829240,4604800,4604800,5396660
