,1,2,3,4,5,6,7,8,9
4.0,12890,12110,12671,12757,12500,12606,12580,12771,12671
8.0,13372,12694,12979,13060,12665,12912,12885,13081,12979
13.0,13571,13057,13343,13438,13183,13277,13246,13448,13343
