,A,C,D,E,F,G,H,I,J,K,L
3.0,558,533,510,532,506,500,538,496,553,733,588
6.0,558,533,510,532,506,500,538,496,553,467,588
9.0,558,533,510,532,363,500,538,496,553,467,588
