,A1,A2,A3,A5,A6,B1,B2,B3,B5,B6
8.0,526,447,272,288,393,258,269,204,208,222
18.0,526,447,272,288,393,258,269,204,208,222
26.0,526,447,272,288,393,258,269,204,208,222
