,A,B,C,CD,D,E,EF,F
6.0,14324400,13011100,13697019,,13228220,14897610,,14869008
15.0,15536500,14178925,14869953,,15482292,16300025,,13089978
22.0,16790575,16735950,17852226,,17424060,17390660,,17357868
