,A,AB,B,C,CD,D,E,EF,F,G,H,J
6.0,505,1186,681,669,1339,670,519,1090,571,579,399,402
15.0,505,1186,681,669,1339,670,519,1090,571,579,399,402
22.0,505,1186,681,669,1339,670,519,1090,571,579,399,402
