,A,AB,B,C,CD,D,E,EF,F,G,H,J
6.0,21924,36811,27095,24182,37470,23683,21707,36397,22363,23593,24792,25186
15.0,24019,40720,25929,25767,41449,25772,28120,40262,26428,26063,27832,27600
22.0,24341,43760,31750,27692,44544,27697,25148,43268,27135,28641,29031,28150
