,A,B,C,D,E,F,G,H,whole floor
3.0,10928,10326,11379,10921,11114,7894,11082,11347,11582
7.0,11321,10689,11793,11314,11514,8161,11480,11708,11998
11.0,11714,11076,12202,11664,11913,8428,11886,12115,12415
