,1,2,3,4,A2,A3,A4
8.0,6747195,6323099,6323099,6624800,6319635,6458628,6669390
14.0,7101185,6654344,6654344,7978894,6652612,6659973,7032025
21.0,7327775,7039281,7039281,7373730,7040147,7036683,7248605
