,1,2,3,4,B1,B2,B3,B4
8.0,6522425,6562981,6174147,6522425,6453720,6211385,6193199,6408675
14.0,6788145,6482010,6365533,6788145,6777225,6522712,6559517,6739460
21.0,7167615,6843998,6722325,7167615,7156695,6887731,6911979,7117110
