,A,A & B,B,C,D,E,F
4.0,15318582,32243125,14699800,15318582,14619719,16604298,16617960
9.0,13717620,33719019,15362388,16011912,16265219,17330868,17371854
14.0,16738476,35369867,16052401,16738476,16803846,18088488,17969256
