,1,11,13,3,4,5,6,7,8
4.0,6191723,6256354,5115396,6083539,4917352,6191723,4992828,7881362,6191723
6.0,6299758,6365619,5205057,6189524,5003460,6299758,5079549,8019446,6299758
9.0,6455750,6523387,5334186,6343073,5128442,6455750,5205726,8072938,6455750
