,A,B,C,D,E,F,G,H,J,K
5.0,13586,13591,13516,14207,13586,13586,13595,13673,13597,13601
10.0,14351,14357,14276,14326,14351,14351,14361,14432,14363,14368
16.0,15292,15301,15212,15276,15294,15294,15305,15276,14985,15312
