,1,2,3,4,5,6,7,8,9
3.0,12740,12717,12731,11498,12761,12812,11874,12826,12737
8.0,13286,13264,13278,11973,13324,13360,12351,13382,13285
12.0,13710,13689,13704,13712,13781,13787,12737,13814,13712
