,A,AB,B,C,D,E,F,G,H
6.0,31355,,34694,25121,23599,25448,22858,24619,29979
15.0,33913,,38299,24136,24875,26338,24034,26378,32157
22.0,32587,,40504,26133,25711,28513,27163,28925,33293
