,1,2,3,4,B1,B2,B3,B4
8.0,14335,15157,14259,14335,14184,14345,14303,14085
14.0,14919,14970,14701,14919,14895,15064,15149,14812
21.0,15753,15806,15525,15753,15729,15907,15963,15642
