,1,2,3,4,5,6,7,8,9
5.0,3406104,4284430,4457834,3298785,3382766,3354479,4540595,4472472,3696732
14.0,3743532,4656573,4721881,3592040,3651717,3638247,4790004,4681345,3777696
22.0,3897036,4839548,5029842,3742450,3882952,3886544,4800701,4770862,4035096
