,1,2,3,4,5,6,7,8,9
5.0,7278,7610,7918,7413,7534,7471,8065,7944,7899
14.0,7999,8271,8387,8072,8133,8103,8508,8315,8072
22.0,8327,8596,8934,8410,8648,8656,8527,8474,8622
