,A1,A2,A3,A5,A6,B1,B2,B3,B5,B6
8.0,11720332,9683808,6004672,6110784,8211342,5075118,5040791,4451280,4493840,4596732
18.0,11928102,10384257,6259536,6281280,8656218,5082858,5169911,4617540,4609488,4681980
26.0,12521430,10558587,6322640,6499296,8673510,5150712,5150812,4602036,4663152,4771224
