,A,AB,B,C,CD,D,E,EF,F,G,H,J
6.0,11071620,43657846,18451695,16177758,50172330,15867610,11265933,39672730,12769273,13660347,9892008,10124772
15.0,12129595,48293920,17657649,17238123,55500211,17267240,14594280,43885580,15090388,15090477,11104968,11095200
22.0,12292205,51899360,21621750,18525948,59644416,18556990,13051812,47162120,15494085,16583139,11583369,11316300
