,A1,A2,A3,A5,A6,B1,B2,B3,B5,B6
8.0,22282,21664,22076,21218,20894,19671,18739,21820,21605,20706
18.0,22677,23231,23013,21810,22026,19701,19219,22635,22161,21090
26.0,23805,23621,23245,22567,22070,19964,19148,22559,22419,21492
