,A1,A2,A3,B1,B2,B3
9.0,11157680,11436502,11033149,12067090,11436502,14325542
16.0,11866640,12163074,11745103,12705365,12163074,15199800
22.0,12474320,12786158,12345881,13279285,12786158,15914514
