,A,B,C,CD,D,E,EF,F
7.0,33867,31199,25272,35803,25186,23538,32542,24300
16.0,34039,34053,28936,34218,27336,25547,34208,26374
22.0,35917,33229,28867,35877,28768,26886,35866,27756
