,A,AB,B,C,D,E,F
5.0,6202560,,5860202,6082334,5451402,6087738,6093990
14.0,6695130,,6103786,6189594,5709612,6253764,6214299
23.0,12206250,,6229730,6340796,5906818,6535548,6444207
