,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
4.0,15640,15103,15155,15719,15976,15155,15808,14793,15640,15103,15835,15719,14857,15072,15103,15719
6.0,15772,15231,15292,15850,16111,15413,15943,14810,15772,15231,15968,15850,14817,15200,15231,15850
9.0,15980,15434,15857,16057,16324,15625,14660,15120,15980,14961,16176,16057,15167,15402,15434,16057
