,B01,B02,B03,B05,B06,B07,B08,B09,C01,C02,C03,C05,C06,C07,C08,C09,C10
3.0,19797,18718,20574,19560,19742,20160,20522,19900,19486,18147,17974,21666,21404,21139,20226,20872,22215
8.0,20530,19210,20653,19805,19908,20285,20770,20353,20106,18891,18415,22391,21854,21694,21904,22351,23091
11.0,20307,19562,20893,19695,20029,20691,21284,19967,20064,19090,18290,22848,22466,22041,21314,21861,23551
