,A,A & F,AF,B,B & C,BC,C,D,E,F
5.0,746,1538,1538,774,1645,1645,871,799,786,784
12.0,746,1538,1538,774,1645,1645,871,799,779,792
19.0,746,1538,1538,774,1645,1645,871,799,779,792
