,A,B,C,D,E,F,G,H,K,L,M
6.0,12383,11903,11899,11880,11922,12831,12491,11424,11899,12090,12356
15.0,12886,12485,12480,12559,12773,13333,12999,12187,12480,12807,12853
23.0,13340,12895,12890,12692,12939,13782,13459,12730,12890,13259,13303
