,A,B,C,D,E,F,G,H,I,J
4.0,5260248,4699245,4518515,4671436,4697700,5290089,4407480,4383100,5359032,4501110
9.0,5364863,4801535,4613915,5388187,4820100,5424545,4711965,4593775,5359330,4706135
14.0,5383385,4903560,4708785,5481140,4917300,5657099,4821410,4689175,5450450,4811155
