,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層A,5.0,低層,A,6466776,14244,454
13.0/F中層A,13.0,中層,A,5685442,12523,454
21.0/F高層A,21.0,高層,A,6058176,13344,454
5.0/F低層B,5.0,低層,B,5543340,12210,454
13.0/F中層B,13.0,中層,B,5902000,13000,454
21.0/F高層B,21.0,高層,B,6279274,13831,454
5.0/F低層C,5.0,低層,C,5267937,13137,401
13.0/F中層C,13.0,中層,C,5550642,13842,401
21.0/F高層C,21.0,高層,C,5748736,14336,401
5.0/F低層D,5.0,低層,D,5579169,13641,409
13.0/F中層D,13.0,中層,D,5479373,13397,409
21.0/F高層D,21.0,高層,D,5679783,13887,409
5.0/F低層E,5.0,低層,E,5964038,14582,409
13.0/F中層E,13.0,中層,E,5924365,14485,409
21.0/F高層E,21.0,高層,E,6095736,14904,409
5.0/F低層F,5.0,低層,F,5973445,14605,409
13.0/F中層F,13.0,中層,F,6156677,15053,409
21.0/F高層F,21.0,高層,F,6387762,15618,409
5.0/F低層G,5.0,低層,G,5968128,14592,409
13.0/F中層G,13.0,中層,G,6223753,15217,409
21.0/F高層G,21.0,高層,G,6417210,15690,409
5.0/F低層H,5.0,低層,H,6020889,14721,409
13.0/F中層H,13.0,中層,H,5712503,13967,409
21.0/F高層H,21.0,高層,H,6307189,15421,409
5.0/F低層J,5.0,低層,J,5965265,14585,409
13.0/F中層J,13.0,中層,J,6276105,15345,409
21.0/F高層J,21.0,高層,J,6485104,15856,409
5.0/F低層K,5.0,低層,K,5879061,14661,401
13.0/F中層K,13.0,中層,K,5588737,13937,401
21.0/F高層K,21.0,高層,K,6183821,15421,401
