,B,C,D,E,E-F,F,G,H,I,K,L
2.0,7243305,5508350,5508350,6042780,,5892920,5739591,5378490,7865340,7865340,6020550
3.0,7274940,5532130,5532130,6068150,,5918440,5792787,5402280,7900110,7900110,6047100
4.0,7304355,5554680,5554680,6092930,,5942640,5800938,5424120,7932440,7932440,6071400
