,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
4.0,345,380,320,410,320,410,345,380,345,380,320,410,320,382,380,410
6.0,345,380,320,410,320,410,345,380,345,380,320,410,320,382,380,410
9.0,345,380,320,410,320,410,345,380,345,380,320,410,320,382,380,410
