,A,B,C,D,E,F,G,H
6.0,6117435,6028480,5784020,6183765,6144235,6044610,6005670,6260025
10.0,6232340,5933165,5929200,6259475,6224635,6153180,6114240,6216595
15.0,6360645,6018260,6062485,6255455,6355955,6284850,6217530,6350930
